AccessLevel,licenseGroupNames,groupsNames,sharedMailboxes,distributionLists
SINNAMON PARK-COMMUNITY MANAGEMENT,SG.License.M365BusinessPremium,Community Management;Seasons Care,a.sinnamon@seasonsliving.com.au,Community Managers
WATERFORD WEST-COMMUNITY MANAGEMENT,SG.License.M365BusinessPremium,Community Management;Seasons Care,a.waterford@seasonsliving.com.au,Community Managers
BRIBIE ISLAND-ENROLLED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.bribie@seasonsliving.com.au,
CALOUNDRA-ENROLLED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.caloundra@seasonsliving.com.au,
EASTERN HEIGHTS-ENROLLED NURSE,SG.License.M365BusinessPremium,Seasons Care,,
KALLANGUR-ENROLLED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.kallangur@seasonsliving.com.au,
MANGO HILL-ENROLLED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.mangohill@seasonsliving.com.au;clinical.mangocaresuites@seasonsliving.com.au,
REDBANK PLAINS-ENROLLED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.redbank@seasonsliving.com.au,
SINNAMON PARK-ENROLLED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.sinnamon@seasonsliving.com.au,
WATERFORD WEST-ENROLLED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.waterford@seasonsliving.com.au,
BRIBIE ISLAND-HOSPITALITY,SG.License.OfficeF3,,,
CALOUNDRA-HOSPITALITY,SG.License.OfficeF3,,,
EASTERN HEIGHTS-HOSPITALITY,SG.License.OfficeF3,,,
KALLANGUR-HOSPITALITY,SG.License.OfficeF3,,,
MANGO HILL-HOSPITALITY,SG.License.OfficeF3,,,
REDBANK PLAINS-HOSPITALITY,SG.License.OfficeF3,,,
SINNAMON PARK-HOSPITALITY,SG.License.OfficeF3,,,
WATERFORD WEST-HOSPITALITY,SG.License.OfficeF3,,,
BRIBIE ISLAND-LIFESTYLE,SG.License.M365BusinessPremium,,l.bribie@seasonsliving.com.au,
CALOUNDRA-LIFESTYLE,SG.License.M365BusinessPremium,,l.caloundra@seasonsliving.com.au,
EASTERN HEIGHTS-LIFESTYLE,SG.License.M365BusinessPremium,,,
KALLANGUR-LIFESTYLE,SG.License.M365BusinessPremium,,l.kallangur@seasonsliving.com.au,
MANGO HILL-LIFESTYLE,SG.License.M365BusinessPremium,,l.mangohill@seasonsliving.com.au,
REDBANK PLAINS-LIFESTYLE,SG.License.M365BusinessPremium,,l.redbank@seasonsliving.com.au,
SINNAMON PARK-LIFESTYLE,SG.License.M365BusinessPremium,,l.sinnamon@seasonsliving.com.au,
WATERFORD WEST-LIFESTYLE,SG.License.M365BusinessPremium,,l.waterford@seasonsliving.com.au,
BRIBIE ISLAND-MAINTENANCE,SG.License.OfficeF3,,m.bribie@seasonsliving.com.au,
CALOUNDRA-MAINTENANCE,SG.License.OfficeF3,,m.caloundra@seasonsliving.com.au,
EASTERN HEIGHTS-MAINTENANCE,SG.License.OfficeF3,,,
KALLANGUR-MAINTENANCE,SG.License.OfficeF3,,m.kallangur@seasonsliving.com.au,
MANGO HILL-MAINTENANCE,SG.License.OfficeF3,,m.mangohill@seasonsliving.com.au,
REDBANK PLAINS-MAINTENANCE,SG.License.OfficeF3,,m.redbank@seasonsliving.com.au,
SINNAMON PARK-MAINTENANCE,SG.License.OfficeF3,,m.sinnamon@seasonsliving.com.au,
WATERFORD WEST-MAINTENANCE,SG.License.OfficeF3,,m.waterford@seasonsliving.com.au,
BRIBIE ISLAND-PERSONAL CARE WORKER,SG.License.OfficeF3,Seasons Care,,
CALOUNDRA-PERSONAL CARE WORKER,SG.License.OfficeF3,Seasons Care,,
EASTERN HEIGHTS-PERSONAL CARE WORKER,SG.License.OfficeF3,Seasons Care,,
KALLANGUR-PERSONAL CARE WORKER,SG.License.OfficeF3,Seasons Care,,
MANGO HILL-PERSONAL CARE WORKER,SG.License.OfficeF3,Seasons Care,,
REDBANK PLAINS-PERSONAL CARE WORKER,SG.License.OfficeF3,Seasons Care,,
SINNAMON PARK-PERSONAL CARE WORKER,SG.License.OfficeF3,Seasons Care,,
WATERFORD WEST-PERSONAL CARE WORKER,SG.License.OfficeF3,Seasons Care,,
BRIBIE ISLAND-REGISTERED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.bribie@seasonsliving.com.au,
CALOUNDRA-REGISTERED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.caloundra@seasonsliving.com.au,
EASTERN HEIGHTS-REGISTERED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.kallangur@seasonsliving.com.au,
KALLANGUR-REGISTERED NURSE,SG.License.M365BusinessPremium,Seasons Care,,
MANGO HILL-REGISTERED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.mangohill@seasonsliving.com.au;clinical.mangocaresuites@seasonsliving.com.au,
REDBANK PLAINS-REGISTERED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.redbank@seasonsliving.com.au,
SINNAMON PARK-REGISTERED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.sinnamon@seasonsliving.com.au,
WATERFORD WEST-REGISTERED NURSE,SG.License.M365BusinessPremium,Seasons Care,clinical.waterford@seasonsliving.com.au,
BRIBIE ISLAND-SALES,SG.License.M365BusinessPremium,Sales and Marketing,,Sales Staff
CALOUNDRA-SALES,SG.License.M365BusinessPremium,Sales and Marketing,,Sales Staff
EASTERN HEIGHTS-SALES,SG.License.M365BusinessPremium,Sales and Marketing,,Sales Staff
KALLANGUR-SALES,SG.License.M365BusinessPremium,Sales and Marketing,,Sales Staff
MANGO HILL-SALES,SG.License.M365BusinessPremium,Sales and Marketing,,Sales Staff
REDBANK PLAINS-SALES,SG.License.M365BusinessPremium,Sales and Marketing,,Sales Staff
SINNAMON PARK-SALES,SG.License.M365BusinessPremium,Sales and Marketing,,Sales Staff
WATERFORD WEST-SALES,SG.License.M365BusinessPremium,Sales and Marketing,,Sales Staff
BRIBIE ISLAND-SUPPORT OFFICE,SG.License.M365BusinessPremium,Support Office,,Support Office
CALOUNDRA-SUPPORT OFFICE,SG.License.M365BusinessPremium,Support Office,,Support Office
EASTERN HEIGHTS-SUPPORT OFFICE,SG.License.M365BusinessPremium,Support Office,,Support Office
KALLANGUR-SUPPORT OFFICE,SG.License.M365BusinessPremium,Support Office,,Support Office
MANGO HILL-SUPPORT OFFICE,SG.License.M365BusinessPremium,Support Office,,Support Office
REDBANK PLAINS-SUPPORT OFFICE,SG.License.M365BusinessPremium,Support Office,,Support Office
SINNAMON PARK-SUPPORT OFFICE,SG.License.M365BusinessPremium,Support Office,,Support Office
WATERFORD WEST-SUPPORT OFFICE,SG.License.M365BusinessPremium,Support Office,,Support Office
